BCORL2|286554,1.40090469898659,2.08694153777992e-21,1.83176550429683e-18,ENSG00000215580,BCORP1,286554,Y
CYorf15A|246126,2.96236819589887,1.82680434229933e-36,2.2047244906125e-33,ENSG00000131002,TXLNGY,246126,Y
CYorf15B|84663,3.08804253350197,4.30182781913231e-56,1.03835368984306e-52,NA,NA,NA,NA
DAZ1|1617,1.42137332934284,3.81793365243588e-11,2.10640853795819e-08,ENSG00000205916,DAZ4,1617,Y
DDX3Y|8653,2.35350618518199,3.24797599437664e-61,1.04530694085688e-57,ENSG00000067048,DDX3Y,8653,Y
EIF1AY|9086,2.93113690069565,1.11706581105502e-37,1.48326811835455e-34,ENSG00000198692,EIF1AY,9086,Y
HSFY2|159119,1.86419722061768,4.17983690554792e-29,4.24803424453318e-26,ENSG00000169953,HSFY2,159119,Y
KDM5D|8284,2.62931216603828,5.49735496705464e-49,1.06153924413825e-45,ENSG00000012817,KDM5D,8284,Y
MAGEA3|4102,-0.626017105688131,3.2547107063103e-05,0.0128262170895616,ENSG00000221867,MAGEA3,4102,X
NCRNA00185|55410,3.22714966523364,5.28085660490754e-73,5.09866705203823e-69,NA,NA,NA,NA
NCRNA00230B|401629,0.788211379036112,1.5125711533027e-07,6.63812476597163e-05,NA,NA,NA,NA
NLGN4Y|22829,2.15651692609606,1.15220205983005e-37,1.48326811835455e-34,ENSG00000165246,NLGN4Y,22829,Y
PCDH11Y|83259,1.51627466925,3.53374865433082e-17,2.52728468574548e-14,ENSG00000099715,PCDH11Y,83259,Y
PRKY|5616,2.89749688540252,1.89624243776612e-32,2.03424674851466e-29,ENSG00000099725,PRKY,5616,Y
PRY2|442862,1.16779657439168,3.87818803873776e-15,2.49626036760087e-12,ENSG00000169807,PRY2,442862,Y
RPS4Y1|6192,1.75433791359304,9.76218768224446e-48,1.71370767403764e-44,ENSG00000129824,RPS4Y1,6192,Y
SRY|6736,1.98029162617293,8.94754237151953e-15,5.39928259981381e-12,ENSG00000184895,SRY,6736,Y
TMSB4Y|9087,3.30612016906761,1.56811612483977e-83,3.0280322370656e-79,ENSG00000154620,TMSB4Y,9087,Y
TSIX|9383,-2.62308398724303,5.67345548889649e-47,9.12953545754927e-44,ENSG00000270641,TSIX,9383,X
TTTY10|246119,0.994425710675398,1.22727379816968e-12,6.97019324784015e-10,ENSG00000229236,TTTY10,246119,Y
TTTY14|83869,2.66875117258545,2.29889243713183e-46,3.41473945853967e-43,NA,NA,NA,NA
TTTY15|64595,2.91317415219919,5.88966717737787e-58,1.62470675993095e-54,ENSG00000233864,TTTY15,64595,Y
TTTY2|60439,1.52215000045766,3.70800449140412e-16,2.46901954237978e-13,NA,NA,NA,NA
USP9Y|8287,2.72841187770118,2.64283372194743e-68,1.70110397236017e-64,ENSG00000114374,USP9Y,8287,Y
UTY|7404,3.29425088911988,5.49953923134245e-64,2.12392205114445e-60,ENSG00000183878,UTY,7404,Y
XIST|7503,-1.66857009276882,2.38685332348538e-51,5.12112640850029e-48,ENSG00000229807,XIST,7503,X
ZFY|7544,2.83695323317908,1.4115852482277e-66,6.81442778581924e-63,ENSG00000067646,ZFY,7544,Y
