BCORL2|286554,1.6613296453178,9.88503542341216e-103,1.06593631982461e-99,ENSG00000215580,BCORP1,286554,Y
CYorf15A|246126,3.66172650014277,4.03357072646061e-205,1.95729019501501e-201,ENSG00000131002,TXLNGY,246126,Y
CYorf15B|84663,3.63225311230456,7.59214060639578e-220,7.3681724585071e-216,NA,NA,NA,NA
DAZ1|1617,1.18333884444751,7.26851245738095e-39,4.40880708743013e-36,ENSG00000205916,DAZ4,1617,Y
DDX3Y|8653,3.55406877344844,1.69050529890503e-174,4.10158848146833e-171,ENSG00000067048,DDX3Y,8653,Y
EIF1AY|9086,3.86645940253509,3.75040198799579e-172,8.08836695411091e-169,ENSG00000198692,EIF1AY,9086,Y
HSFY2|159119,1.92107249702528,2.72519517676608e-105,3.11153166947233e-102,ENSG00000169953,HSFY2,159119,Y
KDM5D|8284,3.68403586900212,4.96432578458545e-163,8.75977849807306e-160,ENSG00000012817,KDM5D,8284,Y
NCRNA00185|55410,3.23043999879781,3.07756928482007e-214,1.99118732727859e-210,NA,NA,NA,NA
NCRNA00230B|401629,1.06309669245683,8.82065927171739e-51,5.90375849875981e-48,NA,NA,NA,NA
NLGN4Y|22829,1.40290868119763,6.07149156588437e-82,4.91031880390899e-79,ENSG00000165246,NLGN4Y,22829,Y
PCDH11Y|83259,0.935849022976726,4.44774574334166e-69,3.45322979513047e-66,ENSG00000099715,PCDH11Y,83259,Y
PRKY|5616,1.77454559535413,4.38909804602191e-138,6.08517093380609e-135,ENSG00000099725,PRKY,5616,Y
PRY2|442862,1.16130557249557,2.87954498086731e-58,2.14969107994748e-55,ENSG00000169807,PRY2,442862,Y
RPS4Y1|6192,3.3357516832504,4.54319290587239e-135,5.87889162019887e-132,ENSG00000129824,RPS4Y1,6192,Y
SAGE1|55511,-0.529963139315362,1.28777700377513e-08,4.16595860721255e-06,ENSG00000181433,SAGE1,55511,X
SRY|6736,0.915207041030561,3.29818650388111e-37,1.93993333455553e-34,ENSG00000184895,SRY,6736,Y
TBL1Y|90665,0.962505567938838,3.19466286707262e-45,2.06694687499598e-42,ENSG00000092377,TBL1Y,90665,Y
TMSB4Y|9087,3.59357480856981,2.01646057722384e-228,3.91394998039147e-224,ENSG00000154620,TMSB4Y,9087,Y
TSIX|9383,-2.39401396427311,6.99576529788245e-99,6.78939022159491e-96,ENSG00000270641,TSIX,9383,X
TSPY2|64591,0.590865010696683,7.81148188169261e-25,3.69806983716228e-22,ENSG00000168757,TSPY2,64591,Y
TTTY10|246119,1.37956247237246,6.17725888050135e-85,5.21306934219701e-82,ENSG00000229236,TTTY10,246119,Y
TTTY14|83869,2.47654439005374,2.22465886416194e-148,3.32158681179871e-145,NA,NA,NA,NA
TTTY15|64595,3.83362407222314,3.02960768321746e-192,1.17609370262502e-188,ENSG00000233864,TTTY15,64595,Y
TTTY2|60439,1.11561009362879,2.57645503374471e-55,1.78603543589232e-52,NA,NA,NA,NA
USP9Y|8287,3.74618679751747,6.64872935107811e-189,1.84359766720609e-185,ENSG00000114374,USP9Y,8287,Y
UTY|7404,3.82895424181575,4.29751852847801e-190,1.39024724396264e-186,ENSG00000183878,UTY,7404,Y
XIST|7503,-2.4306232297231,3.21884370014261e-156,5.20647968498068e-153,ENSG00000229807,XIST,7503,X
ZFY|7544,3.30823873181612,1.08504418243243e-164,2.10607075810136e-161,ENSG00000067646,ZFY,7544,Y
