BCORL2|286554,1.52687687346536,1.03423671767393e-33,9.96849060330013e-31,ENSG00000215580,BCORP1,286554,Y
CYorf15A|246126,3.71060152055502,1.06813321104387e-93,9.67685476565674e-90,ENSG00000131002,TXLNGY,246126,Y
CYorf15B|84663,3.64248091824265,2.205151916262e-90,8.50174269795652e-87,NA,NA,NA,NA
DAZ1|1617,1.16828278235065,7.18603693366574e-16,4.77673220587153e-13,ENSG00000205916,DAZ4,1617,Y
DDX3Y|8653,3.31672014879739,2.16599606723767e-68,4.17539061881405e-65,ENSG00000067048,DDX3Y,8653,Y
EIF1AY|9086,3.82982073776933,4.54431031305911e-66,7.9636972640764e-63,ENSG00000198692,EIF1AY,9086,Y
HSFY2|159119,1.75847691584969,2.20202835450596e-41,2.49697062293009e-38,ENSG00000169953,HSFY2,159119,Y
KDM5D|8284,3.61684901191842,1.71191371746763e-76,3.66672897018038e-73,ENSG00000012817,KDM5D,8284,Y
MAGEC1|9947,-0.520390157461184,0.000115785377917401,0.0398570487520309,ENSG00000155495,MAGEC1,9947,X
NCRNA00185|55410,3.2095296389567,1.70518266124177e-91,8.2177015401894e-88,NA,NA,NA,NA
NCRNA00230B|401629,0.950480899223667,1.36338448395006e-11,8.21311334284543e-09,NA,NA,NA,NA
NLGN4Y|22829,2.77072562256117,2.32825528196419e-65,3.20584121931598e-62,ENSG00000165246,NLGN4Y,22829,Y
PCDH11Y|83259,1.98317422803327,2.91497189975606e-33,2.67580539579036e-30,ENSG00000099715,PCDH11Y,83259,Y
PRKY|5616,2.89819485611889,4.25114469678453e-58,5.46328775466103e-55,ENSG00000099725,PRKY,5616,Y
PRY2|442862,1.00964222550345,7.37941275205184e-21,5.47126690851166e-18,ENSG00000169807,PRY2,442862,Y
RPS4Y1|6192,3.36237449169846,7.09136233527716e-66,1.05153993643952e-62,ENSG00000129824,RPS4Y1,6192,Y
TMSB4Y|9087,3.31062805570225,6.0238268315915e-97,1.16121309832589e-92,ENSG00000154620,TMSB4Y,9087,Y
TSIX|9383,-2.06638635278937,8.5943416554393e-18,5.91689728899655e-15,ENSG00000270641,TSIX,9383,X
TTTY10|246119,1.46805921277899,3.07844020046518e-34,3.12332061812459e-31,ENSG00000229236,TTTY10,246119,Y
TTTY14|83869,2.74684066358038,1.50596899398092e-93,9.67685476565674e-90,NA,NA,NA,NA
TTTY15|64595,3.70374497703863,9.77561707342032e-80,2.35555712905404e-76,ENSG00000233864,TTTY15,64595,Y
TTTY2|60439,1.95162310647826,1.47024460113407e-43,1.77136907350384e-40,NA,NA,NA,NA
USP9Y|8287,3.65134946218785,6.12519721507093e-66,9.83961889291018e-63,ENSG00000114374,USP9Y,8287,Y
UTY|7404,3.77017716542855,5.1218394399827e-85,1.41048141263638e-81,ENSG00000183878,UTY,7404,Y
XIST|7503,-2.07075314985339,6.52655601349632e-27,5.47010522922472e-24,ENSG00000229807,XIST,7503,X
ZFY|7544,3.50735240346253,5.47843412884763e-90,1.76012957836326e-86,ENSG00000067646,ZFY,7544,Y
