BCORL2|286554,1.86849059221276,1.01223869772567e-51,1.23682915878355e-48,ENSG00000215580,BCORP1,286554,Y
CYorf15A|246126,3.666220089988,5.0059205009569e-92,2.44664364484268e-88,ENSG00000131002,TXLNGY,246126,Y
CYorf15B|84663,3.53759403751301,9.52522297682509e-86,2.32772636496163e-82,NA,NA,NA,NA
DAZ1|1617,0.975023611451286,3.23652188962512e-13,2.1818621704197e-10,ENSG00000205916,DAZ4,1617,Y
DDX3Y|8653,3.56876832494602,3.88298554335887e-83,7.59123673726659e-80,ENSG00000067048,DDX3Y,8653,Y
EIF1AY|9086,3.66162928342561,5.7639118601344e-86,1.60977824093753e-82,ENSG00000198692,EIF1AY,9086,Y
GALNT9|50614,-0.567068447614775,0.000176071448540146,0.047153381081642,ENSG00000182870,GALNT9,50614,12
GATA5|140628,-0.52021939426063,0.000104160017143317,0.0313281282331053,ENSG00000130700,GATA5,140628,20
GFRA3|2676,0.607399523850604,2.35902756790753e-08,1.28108302646089e-05,ENSG00000146013,GFRA3,2676,5
HSFY2|159119,0.734097313664536,1.23816934263607e-13,8.64507523161972e-11,ENSG00000169953,HSFY2,159119,Y
KDM5D|8284,3.61627854429915,3.84134084575609e-76,6.25818446121096e-73,ENSG00000012817,KDM5D,8284,Y
NCRNA00185|55410,2.97809807234818,3.44693235516554e-82,6.12613886758967e-79,NA,NA,NA,NA
NCRNA00230B|401629,1.69105681141405,5.92145955871587e-30,5.78822671864476e-27,NA,NA,NA,NA
NLGN4Y|22829,3.4445626205214,7.4569926540819e-71,1.12141697221001e-67,ENSG00000165246,NLGN4Y,22829,Y
PRKY|5616,3.06105684145878,1.65066630909062e-86,5.37842105712027e-83,ENSG00000099725,PRKY,5616,Y
PRY2|442862,0.898008847327335,1.08607211199259e-15,8.49308391578205e-13,ENSG00000169807,PRY2,442862,Y
RPS4Y1|6192,3.26749120773024,3.84366630912672e-63,5.36740545310196e-60,ENSG00000129824,RPS4Y1,6192,Y
RPS4Y2|140032,0.677594764946699,8.56462881397866e-15,6.43994205051088e-12,ENSG00000280969,RPS4Y2,140032,Y
SFRP5|6425,0.711288196868652,2.54180204368443e-06,0.00110427177675624,ENSG00000120057,SFRP5,6425,10
SPESP1|246777,0.525904961064686,6.53626645988699e-05,0.0206103240791598,ENSG00000258484,SPESP1,246777,15
SRY|6736,0.878885266538832,1.43940374400649e-17,1.22349318240552e-14,ENSG00000184895,SRY,6736,Y
TBL1Y|90665,0.547187136365338,9.63167348911652e-09,5.37997762034937e-06,ENSG00000092377,TBL1Y,90665,Y
TMSB4Y|9087,3.175718195036,1.41073257517317e-120,2.75798218446356e-116,ENSG00000154620,TMSB4Y,9087,Y
TSIX|9383,-2.76196222109659,2.1456127516242e-38,2.46745466436783e-35,ENSG00000270641,TSIX,9383,X
TTTY10|246119,1.34892588451062,1.08655897412949e-31,1.11801199706481e-28,ENSG00000229236,TTTY10,246119,Y
TTTY14|83869,2.35320005096175,1.41468559970981e-58,1.84380689828845e-55,NA,NA,NA,NA
TTTY15|64595,3.55706400004573,5.91943499942965e-105,5.78624771194248e-101,ENSG00000233864,TTTY15,64595,Y
TTTY2|60439,0.571676963954588,7.10337746016966e-10,4.20821301049445e-07,NA,NA,NA,NA
USP9Y|8287,3.63229909655113,2.67158413513331e-89,1.04458939683712e-85,ENSG00000114374,USP9Y,8287,Y
UTY|7404,3.58230178108483,3.15504573510371e-98,2.05603813737592e-94,ENSG00000183878,UTY,7404,Y
XIST|7503,-2.59511756360954,2.06364067783779e-34,2.24134306954049e-31,ENSG00000229807,XIST,7503,X
ZFY|7544,3.35183222673594,2.64603163923963e-85,5.74776872745943e-82,ENSG00000067646,ZFY,7544,Y
